adapter,reader,modelname,answer,logits_answer,data_id,timestamp
race,bert-base-uncased,base,afraid,"tensor([[-0.3658, 10.4315, -8.6843, -7.5968]])",middle3349.txt,2023-01-23 21:05:16.224201
race,bert-base-uncased,base,no,"tensor([[ 0.2531, -3.6127, -2.3324, -5.3964]])",middle3349.txt,2023-01-23 21:05:17.519754
race,bert-base-uncased,base,only with the left eye,"tensor([[ 4.6984, -0.0242, -1.5397,  1.9786]])",middle6023.txt,2023-01-23 21:05:19.477755
race,bert-base-uncased,base,just on the left,"tensor([[-6.5409, -6.5566, -7.8135, -7.0860]])",middle6023.txt,2023-01-23 21:05:21.318074
race,bert-base-uncased,base,when they meet the water and grass for the first time,"tensor([[-4.3502, -5.7634, -5.5470, -5.0322]])",middle6023.txt,2023-01-23 21:05:23.128716
race,bert-base-uncased,base,she thinks she knows more than her son and can't be wrong,"tensor([[-3.6424, -3.5175, 14.2694, -6.8007]])",middle6023.txt,2023-01-23 21:05:25.019128
race,bert-base-uncased,base,"$15,000 per year","tensor([[-2.9690, -2.2724, -5.0002, -5.5953]])",middle5210.txt,2023-01-23 21:05:27.831440
race,bert-base-uncased,base,rooms,"tensor([[-3.2896, -6.8583, -7.6475, -8.8623]])",middle5210.txt,2023-01-23 21:05:30.755585
race,bert-base-uncased,base,tuition,"tensor([[-5.9858, -7.4839, -8.0145, -7.5959]])",middle5210.txt,2023-01-23 21:05:33.705286
race,bert-base-uncased,base,It's important to follow the advisors' advice.,"tensor([[-1.6249, -1.5286, -5.7277, -6.1562]])",middle5210.txt,2023-01-23 21:05:36.756930
race,bert-base-uncased,base,The cost of a college education,"tensor([[  9.1380,   7.8976, -10.1886,   7.4010]])",middle5210.txt,2023-01-23 21:05:39.628012
race,bert-base-uncased,base,She worked too hard and became ill.,"tensor([[ -7.3707, -10.8029,  11.1367, -10.4629]])",middle487.txt,2023-01-23 21:05:41.675469
race,bert-base-uncased,base,To eat more yin foods and count numbers when she was lying in bed in the evening.,"tensor([[  5.1220, -10.7103, -10.7983, -10.7998]])",middle487.txt,2023-01-23 21:05:43.802670
race,bert-base-uncased,base,She got up to have some coffee.,"tensor([[  0.2720,   2.4317, -11.1220, -10.7497]])",middle487.txt,2023-01-23 21:05:45.876345
race,bert-base-uncased,base,The student's illness,"tensor([[-0.2935, -3.1007,  2.0064, -1.9011]])",middle487.txt,2023-01-23 21:05:48.302241
race,bert-base-uncased,base,at Peter's house,"tensor([[-2.2134, -8.5371, -2.6580, -9.7504]])",middle2462.txt,2023-01-23 21:05:50.634941
race,bert-base-uncased,base,Mary Jackson sang well.,"tensor([[-5.8502, -0.6718, -1.0965, -9.1420]])",middle2462.txt,2023-01-23 21:05:52.940113
race,bert-base-uncased,base,Many of his friends,"tensor([[-0.2743, -9.2329, -4.3136, -3.5269]])",middle2462.txt,2023-01-23 21:05:55.213740
race,bert-base-uncased,base,did nothing,"tensor([[-1.8674, -0.6308, -2.3356, -3.7293]])",middle2462.txt,2023-01-23 21:05:57.589242
race,bert-base-uncased,base,a selfish man,"tensor([[3.9931, 2.1496, 8.4361, 2.5493]])",middle2462.txt,2023-01-23 21:05:59.965824
race,bert-base-uncased,base,they think their parents are too busy,"tensor([[-7.8600, 14.9530, -8.0873, -5.9630]])",middle2080.txt,2023-01-23 21:06:02.061971
race,bert-base-uncased,base,Twice a week.,"tensor([[ 4.7568,  5.4787,  2.6698, -9.1951]])",middle2080.txt,2023-01-23 21:06:04.370162
race,bert-base-uncased,base,Liu Ying is good at housework,"tensor([[-5.4636,  6.3687, -8.2443, -3.4927]])",middle2080.txt,2023-01-23 21:06:06.745575
race,bert-base-uncased,base,Most students don't do the housework.,"tensor([[-1.0114, -8.4317, -8.4679, -8.3304]])",middle2080.txt,2023-01-23 21:06:08.988162
race,bert-base-uncased,base,seem much harder,"tensor([[-2.3332, -2.5935, -2.2351,  5.6536]])",middle6637.txt,2023-01-23 21:06:11.207293
race,bert-base-uncased,base,never finish their homework in time,"tensor([[-0.0316, -1.2920, -1.1836, -1.4610]])",middle6637.txt,2023-01-23 21:06:13.897656
race,bert-base-uncased,base,How to spend your free time.,"tensor([[ 4.9840, -5.2659,  3.6680, -9.6610]])",middle6637.txt,2023-01-23 21:06:16.352404
race,bert-base-uncased,base,a newspaper,"tensor([[ 10.7995, -11.1223, -11.0612, -11.1486]])",middle4717.txt,2023-01-23 21:06:18.104494
race,bert-base-uncased,base,"Indonesia, Sri Lanka, and Thailand.","tensor([[ -3.4057,   1.1458,  -2.6915, -10.6190]])",middle4717.txt,2023-01-23 21:06:20.268507
race,bert-base-uncased,base,Three.,"tensor([[-6.4408, -0.7099,  0.4650, -3.0538]])",middle4717.txt,2023-01-23 21:06:22.127502
race,bert-base-uncased,base,"villages, schools and orphanages","tensor([[ 3.1080,  1.2061, -2.7743, 14.8917]])",middle4717.txt,2023-01-23 21:06:24.017574
race,bert-base-uncased,base,mother,"tensor([[  4.6282,  -8.2836, -10.3783,  -6.4684]])",middle1292.txt,2023-01-23 21:06:25.407730
race,bert-base-uncased,base,coat,"tensor([[ -8.8420, -10.2971,   1.5340,  -7.5330]])",middle1292.txt,2023-01-23 21:06:26.843618
race,bert-base-uncased,base,small,"tensor([[-7.2815, -4.9970, -6.7543, -3.5011]])",middle1292.txt,2023-01-23 21:06:28.333871
race,bert-base-uncased,base,Yellow,"tensor([[ -5.2293, -10.0957,  -9.5012,  -9.3713]])",middle1292.txt,2023-01-23 21:06:29.654784
race,bert-base-uncased,base,55,"tensor([[-4.3291, -2.9045, -3.5015, -2.7496]])",middle1292.txt,2023-01-23 21:06:31.291495
race,bert-base-uncased,base,China's largest website,"tensor([[ 0.2560,  9.9436, -6.0584, 11.1985]])",middle3630.txt,2023-01-23 21:06:33.331454
race,bert-base-uncased,base,Clothing and home-use products.,"tensor([[-0.4246, -6.5670, 15.0535, -0.8409]])",middle3630.txt,2023-01-23 21:06:35.588586
race,bert-base-uncased,base,It's safe,"tensor([[ 9.1726, -9.7370, -9.3479, -9.1822]])",middle3630.txt,2023-01-23 21:06:37.663080
race,bert-base-uncased,base,Online shopping in China,"tensor([[-10.4855, -10.1410, -10.8103,  11.3812]])",middle3630.txt,2023-01-23 21:06:39.746152
race,bert-base-uncased,base,It is modern and beautiful.,"tensor([[-1.4963, -8.4512,  1.5243, 15.3052]])",middle2407.txt,2023-01-23 21:06:41.234842
race,bert-base-uncased,base,Math,"tensor([[ 15.3444,   0.5443, -10.7662, -10.0645]])",middle2407.txt,2023-01-23 21:06:42.542640
race,bert-base-uncased,base,Under the tree.,"tensor([[10.6418, 13.2066, -3.9744, 15.2315]])",middle2407.txt,2023-01-23 21:06:44.054646
race,bert-base-uncased,base,At 8:25.,"tensor([[ 2.2299, -3.0737, -1.0576, 12.0373]])",middle2407.txt,2023-01-23 21:06:45.609149
race,bert-base-uncased,base,"In Simon's school, students do morning exercises first.","tensor([[-3.2099,  3.1653, -6.2609, -3.4291]])",middle2407.txt,2023-01-23 21:06:47.418419
race,bert-base-uncased,base,he could then become the greatest archer,"tensor([[-2.3847,  0.3472, -4.1874, -7.4493]])",middle577.txt,2023-01-23 21:06:50.261695
race,bert-base-uncased,base,The young archer set off to look for the old man's master.,"tensor([[-4.2058, -1.1734, -2.9578,  0.6706]])",middle577.txt,2023-01-23 21:06:53.066679
race,bert-base-uncased,base,There's always someone better than you in this world.,"tensor([[-1.4514, -4.4261, -6.2542, -4.7979]])",middle577.txt,2023-01-23 21:06:55.797874
race,bert-base-uncased,base,lighten  the schoolbag,"tensor([[-10.2914,  -7.3299,  -4.5144,  -5.8739]])",middle676.txt,2023-01-23 21:06:57.807601
race,bert-base-uncased,base,It's not as small as a usual book.,"tensor([[-2.8711, -8.7487, -9.6876,  0.3566]])",middle676.txt,2023-01-23 21:06:59.723957
race,bert-base-uncased,base,They are made into chips.,"tensor([[1.3046, 9.4793, 5.0521, 3.3976]])",middle676.txt,2023-01-23 21:07:01.604937
race,bert-base-uncased,base,They have been into use in school in China.,"tensor([[-1.9743, -8.4924,  0.3968, -0.3673]])",middle676.txt,2023-01-23 21:07:03.522850
race,bert-base-uncased,base,basketball,"tensor([[ 4.2491, -8.7919,  3.9900,  4.8590]])",middle6407.txt,2023-01-23 21:07:05.275720
race,bert-base-uncased,base,a famous basketball player,"tensor([[  2.1017, -10.8957,  13.0142,  -4.4316]])",middle6407.txt,2023-01-23 21:07:06.997287
race,bert-base-uncased,base,Jurassic Park,"tensor([[10.9675,  4.8189, -8.1966, -9.4182]])",middle6407.txt,2023-01-23 21:07:08.725681
race,bert-base-uncased,base,Swim.,"tensor([[-5.4190,  0.9988,  8.4440, -6.6329]])",middle6407.txt,2023-01-23 21:07:10.621098
race,bert-base-uncased,base,they don't have enough money,"tensor([[ -6.3448,  -1.6445, -10.0517,   3.6540]])",middle7574.txt,2023-01-23 21:07:12.937619
race,bert-base-uncased,base,7,"tensor([[ 2.5551, -2.7497, -2.9087, -2.5590]])",middle7574.txt,2023-01-23 21:07:15.342226
race,bert-base-uncased,base,they have lots of things to do at home,"tensor([[-2.5971, -8.8986, -6.1579, -1.7169]])",middle7574.txt,2023-01-23 21:07:17.874033
race,bert-base-uncased,base,Fu Xiaoyu began to live with her grandmother three years ago.,"tensor([[-0.2066, -5.4762, -5.9794, -7.3149]])",middle7574.txt,2023-01-23 21:07:20.240517
race,bert-base-uncased,base,Three,"tensor([[-1.5273, -3.2052, -2.6749, -1.7458]])",middle2750.txt,2023-01-23 21:07:22.500921
race,bert-base-uncased,base,To carry china into the beautiful future .,"tensor([[-9.2559, -7.9083, 12.1974, -9.1359]])",middle2750.txt,2023-01-23 21:07:24.941374
race,bert-base-uncased,base,our brothers and sisters,"tensor([[-4.4981, -3.0838, -3.3690, -6.8554]])",middle2750.txt,2023-01-23 21:07:27.107476
race,bert-base-uncased,base,That we don' t know how to use money .,"tensor([[  5.1025,   7.4301, -10.0423,   2.4970]])",middle2750.txt,2023-01-23 21:07:29.196451
race,bert-base-uncased,base,we should learn to love each other,"tensor([[ -3.2255,  14.9476,  -6.0553, -10.3015]])",middle2750.txt,2023-01-23 21:07:31.235788
race,bert-base-uncased,base,follow the bedtime routine,"tensor([[ 2.7143, -2.5158, 10.7106, -2.6175]])",middle1386.txt,2023-01-23 21:07:33.071429
race,bert-base-uncased,base,to wash all parts of your hands,"tensor([[-0.5805, -1.7678, -4.0808,  7.7635]])",middle1386.txt,2023-01-23 21:07:34.952286
race,bert-base-uncased,base,some diseases may be in the mirror,"tensor([[ -5.1479,  -9.1574,   1.4626, -10.2234]])",middle1386.txt,2023-01-23 21:07:36.914361
race,bert-base-uncased,base,doing little physical activity,"tensor([[-6.8697, -0.0436, -6.0552,  6.8242]])",middle1386.txt,2023-01-23 21:07:38.877357
race,bert-base-uncased,base,call HealthLine at 1800 438 2000,"tensor([[ 0.6358,  6.9292, -6.4559,  7.2099]])",middle1386.txt,2023-01-23 21:07:40.670195
race,bert-base-uncased,base,because they may have four seasons in one day,"tensor([[13.1955, -5.7621, -0.1889, -7.4187]])",middle4182.txt,2023-01-23 21:07:42.263483
race,bert-base-uncased,base,warm,"tensor([[-3.4801, -5.5373, -4.9622, -5.3685]])",middle4182.txt,2023-01-23 21:07:43.767728
race,bert-base-uncased,base,The Weather in England,"tensor([[ -3.6108,  -5.4079,  12.7741, -10.3430]])",middle4182.txt,2023-01-23 21:07:45.304485
race,bert-base-uncased,base,To clean up the beach.,"tensor([[ -8.3368, -10.1776,   4.2628,   5.1962]])",middle3376.txt,2023-01-23 21:07:47.197597
race,bert-base-uncased,base,He talks a lot but does little.,"tensor([[-10.5579, -10.6507,  -6.8647,  -8.6238]])",middle3376.txt,2023-01-23 21:07:49.043448
race,bert-base-uncased,base,Ben is surprised to see Judy at the beach.,"tensor([[-1.5090, -6.7426,  4.4484, -8.3691]])",middle3376.txt,2023-01-23 21:07:50.985370
race,bert-base-uncased,base,3.,"tensor([[ 3.4421, -4.9685, -2.5663, -1.2544]])",middle1163.txt,2023-01-23 21:07:53.353206
race,bert-base-uncased,base,before his father taught him to study,"tensor([[ -6.4737,   2.1632,  -9.0495, -10.1937]])",middle1163.txt,2023-01-23 21:07:55.843387
race,bert-base-uncased,base,Dou Kou's parents don't allow Dou Kou to write at his early age.,"tensor([[-5.5137, -7.6849, -0.1147,  1.8457]])",middle1163.txt,2023-01-23 21:07:58.092310
race,bert-base-uncased,base,"Dou Kou, the youngest writer","tensor([[  2.1817, -11.0880,  15.2361, -11.0004]])",middle1163.txt,2023-01-23 21:08:00.187740
race,bert-base-uncased,base,excited,"tensor([[-1.6377, -1.7939, -9.3071,  6.2060]])",middle6128.txt,2023-01-23 21:08:01.090164
race,bert-base-uncased,base,Play music after school,"tensor([[-6.1544, -8.3469,  3.0997,  0.6016]])",middle6128.txt,2023-01-23 21:08:02.293293
race,bert-base-uncased,base,They don't have enough water.,"tensor([[ -2.4898,  14.7169, -10.6419,  -5.4160]])",middle1061.txt,2023-01-23 21:08:04.800082
race,bert-base-uncased,base,Keeping the water running while brushing one's teeth.,"tensor([[-4.8630, -3.2191, -5.2640,  0.4489]])",middle1061.txt,2023-01-23 21:08:07.271575
race,bert-base-uncased,base,small,"tensor([[-1.0751, -9.7164, -7.5862, -9.8846]])",middle6948.txt,2023-01-23 21:08:08.974466
race,bert-base-uncased,base,pet shops; nice food,"tensor([[-8.0140, -7.0146,  9.3186, 11.2431]])",middle6948.txt,2023-01-23 21:08:10.722711
race,bert-base-uncased,base,take a walk,"tensor([[ -8.8915, -10.2800,  10.4411, -10.8466]])",middle6948.txt,2023-01-23 21:08:12.938378
race,bert-base-uncased,base,pets are very important,"tensor([[-11.1155,  14.6335, -10.0501,  -9.8869]])",middle6948.txt,2023-01-23 21:08:15.248877
race,bert-base-uncased,base,in May 2014,"tensor([[12.7664,  2.0993, -2.9474, -0.7885]])",middle4167.txt,2023-01-23 21:08:17.652844
race,bert-base-uncased,base,to have fun,"tensor([[-1.9148,  2.2136, -8.1188, -9.0415]])",middle4167.txt,2023-01-23 21:08:19.938363
race,bert-base-uncased,base,is suitable   for anyone,"tensor([[-8.0266,  3.3552, -8.2660, -4.8607]])",middle4167.txt,2023-01-23 21:08:21.836730
race,bert-base-uncased,base,Stacy thinks Lucy Li can have a bright future,"tensor([[-1.1286,  3.4412,  0.1575, -6.0706]])",middle4167.txt,2023-01-23 21:08:23.809421
race,bert-base-uncased,base,She cares much about winning or losing.,"tensor([[-3.7674, -7.4864,  0.6155, -3.9234]])",middle4167.txt,2023-01-23 21:08:25.708192
race,bert-base-uncased,base,3 teaspoonfuls,"tensor([[-5.6482, -3.3007, -4.4401, -5.3355]])",middle6704.txt,2023-01-23 21:08:26.663209
race,bert-base-uncased,base,a fridge,"tensor([[-6.9129, -7.2362, -8.6058, -8.4226]])",middle6704.txt,2023-01-23 21:08:27.619394
race,bert-base-uncased,base,shake the medicine well,"tensor([[ 7.0171, -6.1379, -8.5255, -5.6898]])",middle6704.txt,2023-01-23 21:08:28.669282
race,bert-base-uncased,base,thirty,"tensor([[-3.0094, -2.1057, -3.3169, -4.5998]])",middle6704.txt,2023-01-23 21:08:29.728672
race,bert-base-uncased,base,throw away,"tensor([[ 2.4279, -2.5906,  0.4618, -4.2220]])",middle6704.txt,2023-01-23 21:08:31.014723
race,bert-base-uncased,base,He was so scared that he fainted.,"tensor([[ 1.2537, -5.9450,  3.1915, -8.7832]])",middle1160.txt,2023-01-23 21:08:33.274954
race,bert-base-uncased,base,before he went downstairs,"tensor([[-5.2692,  0.2396, -1.2583, -1.5195]])",middle1160.txt,2023-01-23 21:08:35.443674
race,bert-base-uncased,base,The writer had the dream at night.,"tensor([[-4.2712, -6.5141, -6.6652, -4.6391]])",middle1160.txt,2023-01-23 21:08:37.569300
race,bert-base-uncased,base,The dreams were all about the writer's real experiences.,"tensor([[ -7.2787, -10.7360,  -4.6252,   8.6003]])",middle1160.txt,2023-01-23 21:08:39.563710
race,bert-base-uncased,base,In a newspaper.,"tensor([[-11.0975, -11.0234,   2.0116,  -3.7270]])",middle6409.txt,2023-01-23 21:08:40.487506
race,bert-base-uncased,base,Summer fashion is always happy.,"tensor([[ -3.4813,   3.3938,  14.6551, -11.0001]])",middle6409.txt,2023-01-23 21:08:41.609118
race,bert-base-uncased,base,Dresses,"tensor([[-2.3358, -4.5586, -2.9463,  7.1520]])",middle6409.txt,2023-01-23 21:08:42.621998
race,bert-base-uncased,base,Green,"tensor([[-7.7222, -5.7480,  2.4402, -4.3221]])",middle6409.txt,2023-01-23 21:08:43.656984
race,bert-base-uncased,base,Cabbages,"tensor([[-8.0805, -2.9546, -5.3651, -8.8828]])",middle6107.txt,2023-01-23 21:08:45.127188
race,bert-base-uncased,base,Because they are sweet and give us energy.,"tensor([[ -0.1638,   6.1930, -10.6020,  -8.3301]])",middle6107.txt,2023-01-23 21:08:46.512149
race,bert-base-uncased,base,sleeping for more than twelve hours,"tensor([[-9.1335,  0.3428, -7.8254, -9.3358]])",middle6107.txt,2023-01-23 21:08:48.139805
race,bert-base-uncased,base,How to keep fit.,"tensor([[-11.0962, -10.5780,   5.7030,  12.9809]])",middle6107.txt,2023-01-23 21:08:49.771257
race,bert-base-uncased,base,For six months.,"tensor([[-3.7184, -4.5049, -4.9899, -7.7529]])",middle1642.txt,2023-01-23 21:08:51.573776
race,bert-base-uncased,base,At 7:30 a.m.,"tensor([[ 0.2861, 13.9446,  4.5559, -1.4632]])",middle1642.txt,2023-01-23 21:08:53.392842
race,bert-base-uncased,base,Because they don't have dining halls.,"tensor([[ 0.6469,  4.8486, 13.1827,  1.1220]])",middle1642.txt,2023-01-23 21:08:55.262483
race,bert-base-uncased,base,There are three terms in Thailand schools.,"tensor([[-2.5484, -8.6516, -4.4925, -6.8545]])",middle1642.txt,2023-01-23 21:08:57.190889
race,bert-base-uncased,base,Three years and two months.,"tensor([[-2.3206, -2.3783, -2.5717, -1.0229]])",middle6682.txt,2023-01-23 21:09:00.355607
race,bert-base-uncased,base,Everyone complains that the Sui Dynasty ended because of the canal.,"tensor([[-1.2659, -3.3014,  4.8232, -1.2319]])",middle6682.txt,2023-01-23 21:09:03.530205
race,bert-base-uncased,base,Emperor Yang Guang and the Grand Canal,"tensor([[ 7.3832, -0.2228, -1.8299, -6.3635]])",middle6682.txt,2023-01-23 21:09:06.713478
race,bert-base-uncased,base,stamp collecting can be a fun and pleasing hobby,"tensor([[-2.2189, 10.8665,  2.6642, -8.6101]])",middle3561.txt,2023-01-23 21:09:08.550943
race,bert-base-uncased,base,Hobbies and collections are a great way to have fun.,"tensor([[ 7.9927,  6.1753,  3.9488, -6.2670]])",middle3561.txt,2023-01-23 21:09:10.472659
race,bert-base-uncased,base,by the collectors,"tensor([[ -5.7211,  -8.3325,  -2.7774, -10.1526]])",middle3561.txt,2023-01-23 21:09:12.352126
race,bert-base-uncased,base,Because other countries did the same thing as well.,"tensor([[-6.8931, -9.7455, -7.7088, -0.8449]])",middle3561.txt,2023-01-23 21:09:14.322348
race,bert-base-uncased,base,write about a match,"tensor([[ -5.9924,   5.5683, -10.4766,   1.4787]])",middle1874.txt,2023-01-23 21:09:15.998365
race,bert-base-uncased,base,at home,"tensor([[-1.1143,  1.6510, -6.4714, -3.8952]])",middle1874.txt,2023-01-23 21:09:17.415247
race,bert-base-uncased,base,"writes down ""Rain, no match""","tensor([[-2.5288, 11.5718,  9.8709,  7.8553]])",middle1874.txt,2023-01-23 21:09:18.667812
race,bert-base-uncased,base,the first,"tensor([[-5.1847, -4.3332, -4.0281, -4.4160]])",middle1874.txt,2023-01-23 21:09:19.899487
race,bert-base-uncased,base,nothing,"tensor([[ 3.7263, -7.6248, -6.2263, -4.6656]])",middle1874.txt,2023-01-23 21:09:21.234552
race,bert-base-uncased,base,An old man.,"tensor([[ 4.8111, -6.2843, -1.4785, -0.2183]])",middle5123.txt,2023-01-23 21:09:23.443887
race,bert-base-uncased,base,Because he didn't want other people to fall and get hurt.,"tensor([[-9.4186, -2.6561, -1.1219, -6.4252]])",middle5123.txt,2023-01-23 21:09:25.745796
race,bert-base-uncased,base,a bag full of money and a message,"tensor([[0.6162, 3.8249, 7.1425, 0.6365]])",middle5123.txt,2023-01-23 21:09:27.868874
race,bert-base-uncased,base,the old man with his cow,"tensor([[-3.4980, -3.0662, -4.4525, -1.4135]])",middle5123.txt,2023-01-23 21:09:30.110178
race,bert-base-uncased,base,"If we do well, we will have well.","tensor([[-3.0118, -7.0780, -8.3389, -6.6135]])",middle5123.txt,2023-01-23 21:09:32.244241
race,bert-base-uncased,base,It is a family business.,"tensor([[ 9.2100, -1.8751,  6.4386, -5.6744]])",middle388.txt,2023-01-23 21:09:34.720588
race,bert-base-uncased,base,16,"tensor([[-2.1879,  1.9204, -1.2003, -1.4318]])",middle388.txt,2023-01-23 21:09:37.237393
race,bert-base-uncased,base,We use a special machine to polish the curling stone.,"tensor([[-5.8775, -8.1277, -4.4871, -6.0601]])",middle388.txt,2023-01-23 21:09:39.867824
race,bert-base-uncased,base,The history of curling.,"tensor([[  3.0614,  -4.6049, -10.8410, -10.0619]])",middle388.txt,2023-01-23 21:09:42.018981
